,player_id,game_id,this_half,stat_type,stat_value,actual_play
13340,travd001,TOR201607020,1_1,AB,1,K+SB2
13339,travd001,TOR201607020,1_1,K,1,K+SB2
13338,travd001,TOR201607020,1_1,PA,1,K+SB2
13337,travd001,TOR201607020,1_1,LOB,1,K+SB2
13336,travd001,TOR201607020,1_1,RLSP,0,K+SB2
13335,donaj001,TOR201607020,1_1,PA,1,W
13334,donaj001,TOR201607020,1_1,W,1,W
13333,encae001,TOR201607020,1_1,AB,1,HR/8/F.2-H;1-H
13332,encae001,TOR201607020,1_1,PA,1,HR/8/F.2-H;1-H
13331,encae001,TOR201607020,1_1,H,1,HR/8/F.2-H;1-H
13330,encae001,TOR201607020,1_1,HR,1,HR/8/F.2-H;1-H
13329,encae001,TOR201607020,1_1,R,1,HR/8/F.2-H;1-H
13328,encae001,TOR201607020,1_1,RBI,1,HR/8/F.2-H;1-H
13327,carre001,TOR201607020,1_1,R,1,HR/8/F.2-H;1-H
13326,encae001,TOR201607020,1_1,RBI,1,HR/8/F.2-H;1-H
13325,donaj001,TOR201607020,1_1,R,1,HR/8/F.2-H;1-H
13324,encae001,TOR201607020,1_1,RBI,1,HR/8/F.2-H;1-H
13323,saunm001,TOR201607020,1_1,PA,1,W
13322,saunm001,TOR201607020,1_1,W,1,W
13321,martr004,TOR201607020,1_1,AB,1,K
13320,martr004,TOR201607020,1_1,K,1,K
13319,martr004,TOR201607020,1_1,PA,1,K
13318,martr004,TOR201607020,1_1,LOB,1,K
13317,martr004,TOR201607020,1_1,RLSP,0,K
13316,tulot001,TOR201607020,1_1,AB,1,8/F
13315,tulot001,TOR201607020,1_1,PA,1,8/F
13314,tulot001,TOR201607020,1_1,LOB,1,8/F
13313,tulot001,TOR201607020,1_1,RLSP,0,8/F
13312,santc002,TOR201607020,2_0,AB,1,S8/L
13311,santc002,TOR201607020,2_0,PA,1,S8/L
13310,santc002,TOR201607020,2_0,H,1,S8/L
13309,chisl001,TOR201607020,2_0,AB,1,K
13308,chisl001,TOR201607020,2_0,K,1,K
13307,chisl001,TOR201607020,2_0,PA,1,K
13306,chisl001,TOR201607020,2_0,LOB,1,K
13305,chisl001,TOR201607020,2_0,RLSP,0,K
13304,uribj002,TOR201607020,2_0,AB,1,46(1)3/GDP
13303,uribj002,TOR201607020,2_0,PA,1,46(1)3/GDP
13302,uribj002,TOR201607020,2_0,LOB,1,46(1)3/GDP
13301,uribj002,TOR201607020,2_0,RLSP,0,46(1)3/GDP
13300,pillk001,TOR201607020,2_1,PA,1,W
13299,pillk001,TOR201607020,2_1,W,1,W
13298,barnd001,TOR201607020,2_1,AB,1,K
13297,barnd001,TOR201607020,2_1,K,1,K
13296,barnd001,TOR201607020,2_1,PA,1,K
13295,barnd001,TOR201607020,2_1,LOB,1,K
13294,barnd001,TOR201607020,2_1,RLSP,0,K
13293,carre001,TOR201607020,2_1,AB,1,7/F7LF
13292,carre001,TOR201607020,2_1,PA,1,7/F7LF
13291,carre001,TOR201607020,2_1,LOB,1,7/F7LF
13290,carre001,TOR201607020,2_1,RLSP,0,7/F7LF
13289,travd001,TOR201607020,2_1,AB,1,53/G
13288,travd001,TOR201607020,2_1,PA,1,53/G
13287,travd001,TOR201607020,2_1,LOB,1,53/G
13286,travd001,TOR201607020,2_1,RLSP,0,53/G
13285,naqut001,TOR201607020,3_0,AB,1,S9/L
13284,naqut001,TOR201607020,3_0,PA,1,S9/L
13283,naqut001,TOR201607020,3_0,H,1,S9/L
13282,gimec001,TOR201607020,3_0,AB,1,K
13281,gimec001,TOR201607020,3_0,K,1,K
13280,gimec001,TOR201607020,3_0,PA,1,K
13279,gimec001,TOR201607020,3_0,LOB,1,K
13278,gimec001,TOR201607020,3_0,RLSP,0,K
13277,davir003,TOR201607020,3_0,AB,1,T9/F.1-H
13276,davir003,TOR201607020,3_0,PA,1,T9/F.1-H
13275,davir003,TOR201607020,3_0,H,1,T9/F.1-H
13274,davir003,TOR201607020,3_0,T,1,T9/F.1-H
13273,naqut001,TOR201607020,3_0,R,1,T9/F.1-H
13272,davir003,TOR201607020,3_0,RBI,1,T9/F.1-H
13271,kipnj001,TOR201607020,3_0,AB,1,K
13270,kipnj001,TOR201607020,3_0,K,1,K
13269,kipnj001,TOR201607020,3_0,PA,1,K
13268,kipnj001,TOR201607020,3_0,LOB,1,K
13267,kipnj001,TOR201607020,3_0,RLSP,1,K
13266,ramij003,TOR201607020,3_0,AB,1,9/F
13265,ramij003,TOR201607020,3_0,PA,1,9/F
13264,ramij003,TOR201607020,3_0,LOB,1,9/F
13263,ramij003,TOR201607020,3_0,RLSP,1,9/F
13262,donaj001,TOR201607020,3_1,AB,1,5/P
13261,donaj001,TOR201607020,3_1,PA,1,5/P
13260,donaj001,TOR201607020,3_1,LOB,0,5/P
13259,donaj001,TOR201607020,3_1,RLSP,0,5/P
13258,encae001,TOR201607020,3_1,AB,1,S7/G
13257,encae001,TOR201607020,3_1,PA,1,S7/G
13256,encae001,TOR201607020,3_1,H,1,S7/G
13255,saunm001,TOR201607020,3_1,AB,1,S8/L.1-2
13254,saunm001,TOR201607020,3_1,PA,1,S8/L.1-2
13253,saunm001,TOR201607020,3_1,H,1,S8/L.1-2
13252,martr004,TOR201607020,3_1,AB,1,8/F.2-3
13251,martr004,TOR201607020,3_1,PA,1,8/F.2-3
13250,martr004,TOR201607020,3_1,LOB,2,8/F.2-3
13249,martr004,TOR201607020,3_1,RLSP,1,8/F.2-3
13248,tulot001,TOR201607020,3_1,AB,1,8/F
13247,tulot001,TOR201607020,3_1,PA,1,8/F
13246,tulot001,TOR201607020,3_1,LOB,2,8/F
13245,tulot001,TOR201607020,3_1,RLSP,1,8/F
13244,napom001,TOR201607020,4_0,AB,1,K
13243,napom001,TOR201607020,4_0,K,1,K
13242,napom001,TOR201607020,4_0,PA,1,K
13241,napom001,TOR201607020,4_0,LOB,0,K
13240,napom001,TOR201607020,4_0,RLSP,0,K
13239,santc002,TOR201607020,4_0,AB,1,HR/9/L+
13238,santc002,TOR201607020,4_0,PA,1,HR/9/L+
13237,santc002,TOR201607020,4_0,H,1,HR/9/L+
13236,santc002,TOR201607020,4_0,HR,1,HR/9/L+
13235,santc002,TOR201607020,4_0,R,1,HR/9/L+
13234,santc002,TOR201607020,4_0,RBI,1,HR/9/L+
13233,chisl001,TOR201607020,4_0,AB,1,3/L
13232,chisl001,TOR201607020,4_0,PA,1,3/L
13231,chisl001,TOR201607020,4_0,LOB,0,3/L
13230,chisl001,TOR201607020,4_0,RLSP,0,3/L
13229,uribj002,TOR201607020,4_0,AB,1,53/G
13228,uribj002,TOR201607020,4_0,PA,1,53/G
13227,uribj002,TOR201607020,4_0,LOB,0,53/G
13226,uribj002,TOR201607020,4_0,RLSP,0,53/G
13225,pillk001,TOR201607020,4_1,AB,1,8/F
13224,pillk001,TOR201607020,4_1,PA,1,8/F
13223,pillk001,TOR201607020,4_1,LOB,0,8/F
13222,pillk001,TOR201607020,4_1,RLSP,0,8/F
13221,barnd001,TOR201607020,4_1,AB,1,S8/L
13220,barnd001,TOR201607020,4_1,PA,1,S8/L
13219,barnd001,TOR201607020,4_1,H,1,S8/L
13218,carre001,TOR201607020,4_1,AB,1,S3/BG.1-2
13217,carre001,TOR201607020,4_1,PA,1,S3/BG.1-2
13216,carre001,TOR201607020,4_1,H,1,S3/BG.1-2
13215,travd001,TOR201607020,4_1,AB,1,K
13214,travd001,TOR201607020,4_1,K,1,K
13213,travd001,TOR201607020,4_1,PA,1,K
13212,travd001,TOR201607020,4_1,LOB,2,K
13211,travd001,TOR201607020,4_1,RLSP,1,K
13210,donaj001,TOR201607020,4_1,AB,1,K
13209,donaj001,TOR201607020,4_1,K,1,K
13208,donaj001,TOR201607020,4_1,PA,1,K
13207,donaj001,TOR201607020,4_1,LOB,2,K
13206,donaj001,TOR201607020,4_1,RLSP,1,K
13205,naqut001,TOR201607020,5_0,AB,1,1/P
13204,naqut001,TOR201607020,5_0,PA,1,1/P
13203,naqut001,TOR201607020,5_0,LOB,0,1/P
13202,naqut001,TOR201607020,5_0,RLSP,0,1/P
13201,gimec001,TOR201607020,5_0,AB,1,8/F
13200,gimec001,TOR201607020,5_0,PA,1,8/F
13199,gimec001,TOR201607020,5_0,LOB,0,8/F
13198,gimec001,TOR201607020,5_0,RLSP,0,8/F
13197,davir003,TOR201607020,5_0,AB,1,63/G
13196,davir003,TOR201607020,5_0,PA,1,63/G
13195,davir003,TOR201607020,5_0,LOB,0,63/G
13194,davir003,TOR201607020,5_0,RLSP,0,63/G
13193,encae001,TOR201607020,5_1,AB,1,31/G-
13192,encae001,TOR201607020,5_1,PA,1,31/G-
13191,encae001,TOR201607020,5_1,LOB,0,31/G-
13190,encae001,TOR201607020,5_1,RLSP,0,31/G-
13189,saunm001,TOR201607020,5_1,AB,1,K
13188,saunm001,TOR201607020,5_1,K,1,K
13187,saunm001,TOR201607020,5_1,PA,1,K
13186,saunm001,TOR201607020,5_1,LOB,0,K
13185,saunm001,TOR201607020,5_1,RLSP,0,K
13184,martr004,TOR201607020,5_1,AB,1,S5/G-
13183,martr004,TOR201607020,5_1,PA,1,S5/G-
13182,martr004,TOR201607020,5_1,H,1,S5/G-
13181,tulot001,TOR201607020,5_1,AB,1,HR/7/L.1-H
13180,tulot001,TOR201607020,5_1,PA,1,HR/7/L.1-H
13179,tulot001,TOR201607020,5_1,H,1,HR/7/L.1-H
13178,tulot001,TOR201607020,5_1,HR,1,HR/7/L.1-H
13177,tulot001,TOR201607020,5_1,R,1,HR/7/L.1-H
13176,tulot001,TOR201607020,5_1,RBI,1,HR/7/L.1-H
13175,martr004,TOR201607020,5_1,R,1,HR/7/L.1-H
13174,tulot001,TOR201607020,5_1,RBI,1,HR/7/L.1-H
13173,pillk001,TOR201607020,5_1,AB,1,K
13172,pillk001,TOR201607020,5_1,K,1,K
13171,pillk001,TOR201607020,5_1,PA,1,K
13170,pillk001,TOR201607020,5_1,LOB,0,K
13169,pillk001,TOR201607020,5_1,RLSP,0,K
13168,kipnj001,TOR201607020,6_0,AB,1,K+WP.B-1
13167,kipnj001,TOR201607020,6_0,K,1,K+WP.B-1
13166,kipnj001,TOR201607020,6_0,PA,1,K+WP.B-1
13165,kipnj001,TOR201607020,6_0,LOB,0,K+WP.B-1
13164,kipnj001,TOR201607020,6_0,RLSP,0,K+WP.B-1
13163,ramij003,TOR201607020,6_0,AB,1,S7/L.1-2
13162,ramij003,TOR201607020,6_0,PA,1,S7/L.1-2
13161,ramij003,TOR201607020,6_0,H,1,S7/L.1-2
13160,napom001,TOR201607020,6_0,AB,1,K
13159,napom001,TOR201607020,6_0,K,1,K
13158,napom001,TOR201607020,6_0,PA,1,K
13157,napom001,TOR201607020,6_0,LOB,2,K
13156,napom001,TOR201607020,6_0,RLSP,1,K
13155,santc002,TOR201607020,6_0,PA,1,W.2-3;1-2
13154,santc002,TOR201607020,6_0,W,1,W.2-3;1-2
13153,chisl001,TOR201607020,6_0,AB,1,K
13152,chisl001,TOR201607020,6_0,K,1,K
13151,chisl001,TOR201607020,6_0,PA,1,K
13150,chisl001,TOR201607020,6_0,LOB,3,K
13149,chisl001,TOR201607020,6_0,RLSP,2,K
13148,uribj002,TOR201607020,6_0,PA,1,HP.3-H;2-3;1-2
13147,uribj002,TOR201607020,6_0,HBP,1,HP.3-H;2-3;1-2
13146,kipnj001,TOR201607020,6_0,R,1,HP.3-H;2-3;1-2
13145,uribj002,TOR201607020,6_0,RBI,1,HP.3-H;2-3;1-2
13144,naqut001,TOR201607020,6_0,AB,1,43/G
13143,naqut001,TOR201607020,6_0,PA,1,43/G
13142,naqut001,TOR201607020,6_0,LOB,3,43/G
13141,naqut001,TOR201607020,6_0,RLSP,2,43/G
13140,barnd001,TOR201607020,6_1,PA,1,W
13139,barnd001,TOR201607020,6_1,W,1,W
13138,carre001,TOR201607020,6_1,AB,1,46(1)3/GDP
13137,carre001,TOR201607020,6_1,PA,1,46(1)3/GDP
13136,carre001,TOR201607020,6_1,LOB,1,46(1)3/GDP
13135,carre001,TOR201607020,6_1,RLSP,0,46(1)3/GDP
13134,travd001,TOR201607020,6_1,AB,1,8/F
13133,travd001,TOR201607020,6_1,PA,1,8/F
13132,travd001,TOR201607020,6_1,LOB,0,8/F
13131,travd001,TOR201607020,6_1,RLSP,0,8/F
13130,gimec001,TOR201607020,7_0,AB,1,7/L
13129,gimec001,TOR201607020,7_0,PA,1,7/L
13128,gimec001,TOR201607020,7_0,LOB,0,7/L
13127,gimec001,TOR201607020,7_0,RLSP,0,7/L
13126,davir003,TOR201607020,7_0,AB,1,D8/L
13125,davir003,TOR201607020,7_0,PA,1,D8/L
13124,davir003,TOR201607020,7_0,H,1,D8/L
13123,davir003,TOR201607020,7_0,D,1,D8/L
13122,kipnj001,TOR201607020,7_0,AB,1,8/L
13121,kipnj001,TOR201607020,7_0,PA,1,8/L
13120,kipnj001,TOR201607020,7_0,LOB,1,8/L
13119,kipnj001,TOR201607020,7_0,RLSP,1,8/L
13118,ramij003,TOR201607020,7_0,AB,1,S8/G.2-H
13117,ramij003,TOR201607020,7_0,PA,1,S8/G.2-H
13116,ramij003,TOR201607020,7_0,H,1,S8/G.2-H
13115,davir003,TOR201607020,7_0,R,1,S8/G.2-H
13114,ramij003,TOR201607020,7_0,RBI,1,S8/G.2-H
13113,napom001,TOR201607020,7_0,AB,1,D8/F.1-H
13112,napom001,TOR201607020,7_0,PA,1,D8/F.1-H
13111,napom001,TOR201607020,7_0,H,1,D8/F.1-H
13110,napom001,TOR201607020,7_0,D,1,D8/F.1-H
13109,ramij003,TOR201607020,7_0,R,1,D8/F.1-H
13108,napom001,TOR201607020,7_0,RBI,1,D8/F.1-H
13107,santc002,TOR201607020,7_0,AB,1,5/P
13106,santc002,TOR201607020,7_0,PA,1,5/P
13105,santc002,TOR201607020,7_0,LOB,1,5/P
13104,santc002,TOR201607020,7_0,RLSP,1,5/P
13103,donaj001,TOR201607020,7_1,AB,1,HR/8/F
13102,donaj001,TOR201607020,7_1,PA,1,HR/8/F
13101,donaj001,TOR201607020,7_1,H,1,HR/8/F
13100,donaj001,TOR201607020,7_1,HR,1,HR/8/F
13099,donaj001,TOR201607020,7_1,R,1,HR/8/F
13098,donaj001,TOR201607020,7_1,RBI,1,HR/8/F
13097,encae001,TOR201607020,7_1,AB,1,4/P
13096,encae001,TOR201607020,7_1,PA,1,4/P
13095,encae001,TOR201607020,7_1,LOB,0,4/P
13094,encae001,TOR201607020,7_1,RLSP,0,4/P
13093,saunm001,TOR201607020,7_1,AB,1,S8/L
13092,saunm001,TOR201607020,7_1,PA,1,S8/L
13091,saunm001,TOR201607020,7_1,H,1,S8/L
13090,martr004,TOR201607020,7_1,AB,1,K
13089,martr004,TOR201607020,7_1,K,1,K
13088,martr004,TOR201607020,7_1,PA,1,K
13087,martr004,TOR201607020,7_1,LOB,1,K
13086,martr004,TOR201607020,7_1,RLSP,0,K
13085,tulot001,TOR201607020,7_1,AB,1,E5/G.1-2
13084,tulot001,TOR201607020,7_1,PA,1,E5/G.1-2
13083,pillk001,TOR201607020,7_1,AB,1,13/G-
13082,pillk001,TOR201607020,7_1,PA,1,13/G-
13081,pillk001,TOR201607020,7_1,LOB,2,13/G-
13080,pillk001,TOR201607020,7_1,RLSP,1,13/G-
13079,chisl001,TOR201607020,8_0,AB,1,K
13078,chisl001,TOR201607020,8_0,K,1,K
13077,chisl001,TOR201607020,8_0,PA,1,K
13076,chisl001,TOR201607020,8_0,LOB,0,K
13075,chisl001,TOR201607020,8_0,RLSP,0,K
13074,lindf001,TOR201607020,8_0,AB,1,13/G-
13073,lindf001,TOR201607020,8_0,PA,1,13/G-
13072,lindf001,TOR201607020,8_0,LOB,0,13/G-
13071,lindf001,TOR201607020,8_0,RLSP,0,13/G-
13070,naqut001,TOR201607020,8_0,AB,1,K
13069,naqut001,TOR201607020,8_0,K,1,K
13068,naqut001,TOR201607020,8_0,PA,1,K
13067,naqut001,TOR201607020,8_0,LOB,0,K
13066,naqut001,TOR201607020,8_0,RLSP,0,K
13065,barnd001,TOR201607020,8_1,AB,1,K
13064,barnd001,TOR201607020,8_1,K,1,K
13063,barnd001,TOR201607020,8_1,PA,1,K
13062,barnd001,TOR201607020,8_1,LOB,0,K
13061,barnd001,TOR201607020,8_1,RLSP,0,K
13060,carre001,TOR201607020,8_1,PA,1,W
13059,carre001,TOR201607020,8_1,W,1,W
13058,travd001,TOR201607020,8_1,AB,1,S8/L.1-2
13057,travd001,TOR201607020,8_1,PA,1,S8/L.1-2
13056,travd001,TOR201607020,8_1,H,1,S8/L.1-2
13055,donaj001,TOR201607020,8_1,AB,1,S8/L/MREV.2-H;1-2
13054,donaj001,TOR201607020,8_1,PA,1,S8/L/MREV.2-H;1-2
13053,donaj001,TOR201607020,8_1,H,1,S8/L/MREV.2-H;1-2
13052,carre001,TOR201607020,8_1,R,1,S8/L/MREV.2-H;1-2
13051,donaj001,TOR201607020,8_1,RBI,1,S8/L/MREV.2-H;1-2
13050,donaj001,TOR201607020,8_1,SB,1,SB3;SB2
13049,travd001,TOR201607020,8_1,SB,1,SB3;SB2
13048,encae001,TOR201607020,8_1,AB,1,K
13047,encae001,TOR201607020,8_1,K,1,K
13046,encae001,TOR201607020,8_1,PA,1,K
13045,encae001,TOR201607020,8_1,LOB,2,K
13044,encae001,TOR201607020,8_1,RLSP,2,K
13043,saunm001,TOR201607020,8_1,AB,1,D7/L.3-H;2-H
13042,saunm001,TOR201607020,8_1,PA,1,D7/L.3-H;2-H
13041,saunm001,TOR201607020,8_1,H,1,D7/L.3-H;2-H
13040,saunm001,TOR201607020,8_1,D,1,D7/L.3-H;2-H
13039,travd001,TOR201607020,8_1,R,1,D7/L.3-H;2-H
13038,saunm001,TOR201607020,8_1,RBI,1,D7/L.3-H;2-H
13037,donaj001,TOR201607020,8_1,R,1,D7/L.3-H;2-H
13036,saunm001,TOR201607020,8_1,RBI,1,D7/L.3-H;2-H
13035,martr004,TOR201607020,8_1,AB,1,53/G
13034,martr004,TOR201607020,8_1,PA,1,53/G
13033,martr004,TOR201607020,8_1,LOB,1,53/G
13032,martr004,TOR201607020,8_1,RLSP,1,53/G
13031,gimec001,TOR201607020,9_0,AB,1,5/P5F
13030,gimec001,TOR201607020,9_0,PA,1,5/P5F
13029,gimec001,TOR201607020,9_0,LOB,0,5/P5F
13028,gimec001,TOR201607020,9_0,RLSP,0,5/P5F
13027,davir003,TOR201607020,9_0,AB,1,S9/L-
13026,davir003,TOR201607020,9_0,PA,1,S9/L-
13025,davir003,TOR201607020,9_0,H,1,S9/L-
13024,davir003,TOR201607020,9_0,SB,1,SB2/MREV
13023,kipnj001,TOR201607020,9_0,AB,1,6/P
13022,kipnj001,TOR201607020,9_0,PA,1,6/P
13021,kipnj001,TOR201607020,9_0,LOB,1,6/P
13020,kipnj001,TOR201607020,9_0,RLSP,1,6/P
13019,ramij003,TOR201607020,9_0,AB,1,13/G-
13018,ramij003,TOR201607020,9_0,PA,1,13/G-
13017,ramij003,TOR201607020,9_0,LOB,1,13/G-
13016,ramij003,TOR201607020,9_0,RLSP,1,13/G-
13015,davir003,TOR201607030,1_0,AB,1,63/G
13014,davir003,TOR201607030,1_0,PA,1,63/G
13013,davir003,TOR201607030,1_0,LOB,0,63/G
13012,davir003,TOR201607030,1_0,RLSP,0,63/G
13011,kipnj001,TOR201607030,1_0,AB,1,D9/L
13010,kipnj001,TOR201607030,1_0,PA,1,D9/L
13009,kipnj001,TOR201607030,1_0,H,1,D9/L
13008,kipnj001,TOR201607030,1_0,D,1,D9/L
13007,lindf001,TOR201607030,1_0,AB,1,K
13006,lindf001,TOR201607030,1_0,K,1,K
13005,lindf001,TOR201607030,1_0,PA,1,K
13004,lindf001,TOR201607030,1_0,LOB,1,K
13003,lindf001,TOR201607030,1_0,RLSP,1,K
13002,napom001,TOR201607030,1_0,AB,1,7/F
13001,napom001,TOR201607030,1_0,PA,1,7/F
13000,napom001,TOR201607030,1_0,LOB,1,7/F
12999,napom001,TOR201607030,1_0,RLSP,1,7/F
12998,carre001,TOR201607030,1_1,AB,1,9/F3F
12997,carre001,TOR201607030,1_1,PA,1,9/F3F
12996,carre001,TOR201607030,1_1,LOB,0,9/F3F
12995,carre001,TOR201607030,1_1,RLSP,0,9/F3F
12994,donaj001,TOR201607030,1_1,AB,1,S7/G
12993,donaj001,TOR201607030,1_1,PA,1,S7/G
12992,donaj001,TOR201607030,1_1,H,1,S7/G
12991,encae001,TOR201607030,1_1,AB,1,7/F
12990,encae001,TOR201607030,1_1,PA,1,7/F
12989,encae001,TOR201607030,1_1,LOB,1,7/F
12988,encae001,TOR201607030,1_1,RLSP,0,7/F
12987,saunm001,TOR201607030,1_1,AB,1,D7/L.1-3
12986,saunm001,TOR201607030,1_1,PA,1,D7/L.1-3
12985,saunm001,TOR201607030,1_1,H,1,D7/L.1-3
12984,saunm001,TOR201607030,1_1,D,1,D7/L.1-3
12983,martr004,TOR201607030,1_1,AB,1,HR/8/F.3-H;2-H
12982,martr004,TOR201607030,1_1,PA,1,HR/8/F.3-H;2-H
12981,martr004,TOR201607030,1_1,H,1,HR/8/F.3-H;2-H
12980,martr004,TOR201607030,1_1,HR,1,HR/8/F.3-H;2-H
12979,martr004,TOR201607030,1_1,R,1,HR/8/F.3-H;2-H
12978,martr004,TOR201607030,1_1,RBI,1,HR/8/F.3-H;2-H
12977,donaj001,TOR201607030,1_1,R,1,HR/8/F.3-H;2-H
12976,martr004,TOR201607030,1_1,RBI,1,HR/8/F.3-H;2-H
12975,saunm001,TOR201607030,1_1,R,1,HR/8/F.3-H;2-H
12974,martr004,TOR201607030,1_1,RBI,1,HR/8/F.3-H;2-H
12973,tulot001,TOR201607030,1_1,AB,1,S9/L
12972,tulot001,TOR201607030,1_1,PA,1,S9/L
12971,tulot001,TOR201607030,1_1,H,1,S9/L
12970,smoaj001,TOR201607030,1_1,AB,1,K
12969,smoaj001,TOR201607030,1_1,K,1,K
12968,smoaj001,TOR201607030,1_1,PA,1,K
12967,smoaj001,TOR201607030,1_1,LOB,1,K
12966,smoaj001,TOR201607030,1_1,RLSP,0,K
12965,santc002,TOR201607030,2_0,AB,1,63/G
12964,santc002,TOR201607030,2_0,PA,1,63/G
12963,santc002,TOR201607030,2_0,LOB,0,63/G
12962,santc002,TOR201607030,2_0,RLSP,0,63/G
12961,ramij003,TOR201607030,2_0,AB,1,K
12960,ramij003,TOR201607030,2_0,K,1,K
12959,ramij003,TOR201607030,2_0,PA,1,K
12958,ramij003,TOR201607030,2_0,LOB,0,K
12957,ramij003,TOR201607030,2_0,RLSP,0,K
12956,gomey001,TOR201607030,2_0,AB,1,63/G
12955,gomey001,TOR201607030,2_0,PA,1,63/G
12954,gomey001,TOR201607030,2_0,LOB,0,63/G
12953,gomey001,TOR201607030,2_0,RLSP,0,63/G
12952,lakej001,TOR201607030,2_1,AB,1,E5/G-
12951,lakej001,TOR201607030,2_1,PA,1,E5/G-
12950,barnd001,TOR201607030,2_1,PA,1,W.1-2
12949,barnd001,TOR201607030,2_1,W,1,W.1-2
12948,carre001,TOR201607030,2_1,SH,1,14/BG/SH.2-3;1-2
12947,carre001,TOR201607030,2_1,PA,1,14/BG/SH.2-3;1-2
12946,donaj001,TOR201607030,2_1,PA,1,IW
12945,donaj001,TOR201607030,2_1,IW,1,IW
12944,donaj001,TOR201607030,2_1,W,1,IW
12943,encae001,TOR201607030,2_1,AB,1,K
12942,encae001,TOR201607030,2_1,K,1,K
12941,encae001,TOR201607030,2_1,PA,1,K
12940,encae001,TOR201607030,2_1,LOB,3,K
12939,encae001,TOR201607030,2_1,RLSP,2,K
12938,saunm001,TOR201607030,2_1,AB,1,K
12937,saunm001,TOR201607030,2_1,K,1,K
12936,saunm001,TOR201607030,2_1,PA,1,K
12935,saunm001,TOR201607030,2_1,LOB,3,K
12934,saunm001,TOR201607030,2_1,RLSP,2,K
12933,almoa001,TOR201607030,3_0,AB,1,K
12932,almoa001,TOR201607030,3_0,K,1,K
12931,almoa001,TOR201607030,3_0,PA,1,K
12930,almoa001,TOR201607030,3_0,LOB,0,K
12929,almoa001,TOR201607030,3_0,RLSP,0,K
12928,chisl001,TOR201607030,3_0,AB,1,K
12927,chisl001,TOR201607030,3_0,K,1,K
12926,chisl001,TOR201607030,3_0,PA,1,K
12925,chisl001,TOR201607030,3_0,LOB,0,K
12924,chisl001,TOR201607030,3_0,RLSP,0,K
12923,davir003,TOR201607030,3_0,AB,1,K
12922,davir003,TOR201607030,3_0,K,1,K
12921,davir003,TOR201607030,3_0,PA,1,K
12920,davir003,TOR201607030,3_0,LOB,0,K
12919,davir003,TOR201607030,3_0,RLSP,0,K
12918,martr004,TOR201607030,3_1,AB,1,63/G
12917,martr004,TOR201607030,3_1,PA,1,63/G
12916,martr004,TOR201607030,3_1,LOB,0,63/G
12915,martr004,TOR201607030,3_1,RLSP,0,63/G
12914,tulot001,TOR201607030,3_1,AB,1,S7/G
12913,tulot001,TOR201607030,3_1,PA,1,S7/G
12912,tulot001,TOR201607030,3_1,H,1,S7/G
12911,smoaj001,TOR201607030,3_1,AB,1,5/P
12910,smoaj001,TOR201607030,3_1,PA,1,5/P
12909,smoaj001,TOR201607030,3_1,LOB,1,5/P
12908,smoaj001,TOR201607030,3_1,RLSP,0,5/P
12907,lakej001,TOR201607030,3_1,PA,1,W.1-2
12906,lakej001,TOR201607030,3_1,W,1,W.1-2
12905,barnd001,TOR201607030,3_1,AB,1,K
12904,barnd001,TOR201607030,3_1,K,1,K
12903,barnd001,TOR201607030,3_1,PA,1,K
12902,barnd001,TOR201607030,3_1,LOB,2,K
12901,barnd001,TOR201607030,3_1,RLSP,1,K
12900,kipnj001,TOR201607030,4_0,AB,1,3/G
12899,kipnj001,TOR201607030,4_0,PA,1,3/G
12898,kipnj001,TOR201607030,4_0,LOB,0,3/G
12897,kipnj001,TOR201607030,4_0,RLSP,0,3/G
12896,lindf001,TOR201607030,4_0,AB,1,K
12895,lindf001,TOR201607030,4_0,K,1,K
12894,lindf001,TOR201607030,4_0,PA,1,K
12893,lindf001,TOR201607030,4_0,LOB,0,K
12892,lindf001,TOR201607030,4_0,RLSP,0,K
12891,napom001,TOR201607030,4_0,AB,1,K
12890,napom001,TOR201607030,4_0,K,1,K
12889,napom001,TOR201607030,4_0,PA,1,K
12888,napom001,TOR201607030,4_0,LOB,0,K
12887,napom001,TOR201607030,4_0,RLSP,0,K
12886,carre001,TOR201607030,4_1,PA,1,W
12885,carre001,TOR201607030,4_1,W,1,W
12884,donaj001,TOR201607030,4_1,AB,1,S8/G.1-3
12883,donaj001,TOR201607030,4_1,PA,1,S8/G.1-3
12882,donaj001,TOR201607030,4_1,H,1,S8/G.1-3
12881,encae001,TOR201607030,4_1,SF,1,6/P/SF.3-H
12880,encae001,TOR201607030,4_1,PA,1,6/P/SF.3-H
12879,carre001,TOR201607030,4_1,R,1,6/P/SF.3-H
12878,encae001,TOR201607030,4_1,RBI,1,6/P/SF.3-H
12877,saunm001,TOR201607030,4_1,AB,1,D9/L.1-3
12876,saunm001,TOR201607030,4_1,PA,1,D9/L.1-3
12875,saunm001,TOR201607030,4_1,H,1,D9/L.1-3
12874,saunm001,TOR201607030,4_1,D,1,D9/L.1-3
12873,martr004,TOR201607030,4_1,PA,1,IW
12872,martr004,TOR201607030,4_1,IW,1,IW
12871,martr004,TOR201607030,4_1,W,1,IW
12870,tulot001,TOR201607030,4_1,SF,1,9/L/SF.3-H;2-3
12869,tulot001,TOR201607030,4_1,PA,1,9/L/SF.3-H;2-3
12868,donaj001,TOR201607030,4_1,R,1,9/L/SF.3-H;2-3
12867,tulot001,TOR201607030,4_1,RBI,1,9/L/SF.3-H;2-3
